id,description
123,"Special edition pataloha shirt - This year's Special Edition Pataloha shirt artfully depicts surf and climbing spots around the globe. Made with coconut buttons and a beautiful but pragmatic machine-washable blend of 55% organic cotton and 45% Tencel, this limited-run classic drapes smoothly and screams ""Mahalo."" Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Machine-washable blend of organic cotton and Tencel drapes smoothly</li> <li>Coconut buttons</li></ul><br><br><b>Fabric: </b>3-oz 55% organic cotton/45% Tencel. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(216 g 7.5 oz)<br><br>Made in Thailand."
124,"Squid t-shirt - Artist Tim Tompkinson's original work renders the Squid T-Shirt into a coat of arms. Printed on ringspun organic cotton (100%), the lightweight shirt is printed with PVC- and phthalate-free inks that are less harmful to the environment. Taped shoulder seams provide a no-chafe fit. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(150 g 5.2 oz)<br><br>Made in USA."
125,"S/s island hopper shirt - Serene in the face of serious heat and always up for a cleansing dunk in the hotel sink, an Island Hopper is traveler's manna. Its ultralight blend of moisture-wicking 65% all-recycled polyester and 35% organic cotton ventilates well; the light colors reflect the sun; and the oversized drop-in chest pockets (sized for a fly box, passport or both) have mesh vents to take in whatever breeze comes your way.<br><br><b>Details:</b><ul> <li>""Light, quick-drying recycled polyester and organic cotton plain weave blend""</li> <li>Easy access to drop-in passport-sized chest pockets through front mesh vents (for maximizing airflow)</li> <li>Placket streamlined to wear evenly with the rest of the garment</li> <li>Coconut buttons</li></ul><br><br><b>Fabric: </b>2.9-oz 65% all-recycled polyester/35% organic cotton plain weave. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(204 g 7.1 oz)<br><br>Made in Thailand."
126,"S/s pragmatist shirt - Like a spare roll of duct tape, the Pragmatist shirt works wonders in a pinch. Lightweight organic cotton and polyester (70%/30%) in a crisp woven construction is soft, cleanly styled and acutely wrinkle-resistant. With a shirttail hem. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Organic cotton/polyester plain weave fabric is lightweight, soft and has wrinkle resistance""</li> <li>Shirttail hem</li> <li>Single chest patch pocket</li></ul><br><br><b>Fabric: </b>3.7-oz 70% organic cotton/30% polyester plain weave. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(187 g 6.5 oz)<br><br>Made in Thailand."
127,"S/s puckerware shirt - In humidity that makes other shirts wilt, the Puckerware Shirt's textured 65% polyester and 35% organic cotton yarn-dyed seersucker blend stays loose, dry and comfortable. Its crinkled weave sits just off the skin, allowing air to circulate and sweat to dissipate. It also resists wrinkling, washes easily, and dries in a flash. With a button-through chest pocket, side vents and a straight hem. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Lightweight breathable all-recycled polyester and organic cotton blend dries in a flash and won't stick to skin</li> <li>Button-through chest pocket</li> <li>Straight hem with side vents</li></ul><br><br><b>Fabric: </b>3.4-oz 65% all-recycled polyester/35% organic cotton yarn-dyed seersucker. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(193 g 6.7 oz)<br><br>Made in Thailand."
128,"S/s stretch t - Ready for the full-body workout of an Eldorado Canyon lead, then quick-to-dry afterwards. Our Stretch Tees have a soft, yet technical plaited fabric blend of 55% organic cotton on the exterior with 35% polyester/10% spandex inside to wick moisture. The fit is slim and athletic with a Patagonia graphic screen-printed on the chest. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Plaited fabric has soft cotton exterior with polyester on the inside to wick moisture away from skin</li> <li>Crewneck</li> <li>Graphic screen-print on chest</li></ul><br><br><b>Fabric: </b>5.7-oz 55% organic cotton/35% polyester/10% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(181 g 6.3 oz)<br><br>Made in Thailand."
129,"Sst jkt - Bristol Bay, Tierra del Fuego, the Russian Arctic - they all share three things: good fishing, bad weather and a whole lot of SST Jackets. Since its introduction, the venerable SST has continually set the standard for on-the-water weather protection. Today's version features our latest advances in shell design and technology, along with a host of new, angler-friendly details. Now made from our new 3-layer recyclable nylon ripstop waterproof/breathable fabric, the new SST is durable, extremely light, and better yet, fully recyclable. There's also a new integrated hood with single-pull adjustment and waterproof, corrosion-resistant Aquazip main and hand pocket zippers. The now-classic large, gusseted chest pockets are waterproof and set high for deep wading. Streamlined cuffs lie flat, resist line snagging and seal out water. More details: Large back pocket and hidden rod holder. Medium length (2 inches longer than the Deep Wading Jacket). Recyclable through our Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Light, highly breathable and durable 3-layer recyclable nylon double ripstop fabric with a waterproof/breathable H2No barrier and a Deluge DWR (durable water repellent) finish; integrated hood with single-pull adjustment""</li> <li>""Waterproof, corrosion resistant ririAQUAzip main and handwarmer pocket zippers; reversed StretchCoat cuff fabric""</li> <li>""Large gusseted chest pockets are waterproof (set high for wading, with inside tippet pockets, large back pocket)""</li> <li>""Two Beastie D-rings on front, one on back""</li> <li>Hidden rod holder</li> <li>Y-Joint sleeves and anatomically curved elbows</li> <li>All seams are sealed</li></ul><br><br><b>Fabric: </b>""3-layer, recyclable 100% nylon double ripstop fabric with a waterproof/breathable H2No barrier and a Deluge DWR finish. Cuffs: Reverse StretchCoat. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(462 g 16.03 oz)<br><br>Made in Vietnam."
130,"Stormfront duffel 100 - Designed to haul the goods, protect them and keep them dry, the Stormfront Duffel 100 is built with the most abrasion-resistant materials available and guaranteed waterproof to depths of 6 feet. Welded seams and a waterproof zipper keep water out, while TPU coatings and double-layer construction ensure durability during years of hardcore use. The duffel features top-load access for easy packing and keeps you organized with an external zip pocket and an internal mesh pocket for smaller essentials. The grab-and-toss haul handles and shoulder strap make life easier as do the removable compression straps that reverse for hauling.<br><br><b>Details:</b><ul> <li>Top load access for easy packing; external organizer zip pocket is great for quick-grab items</li> <li>Internal mesh pocket organizes the finer essentials</li> <li>Welded seams and waterproof zipper keep water out</li> <li>Grab and toss haul handles</li> <li>""Removable compression straps protect zipper, reverse for hauling and can be used for attaching larger items""</li> <li>Removable shoulder straps for comfortable long-haul carry</li> <li>Made with the most waterproof materials available with TPU coatings and double-layer construction for guaranteed durability during years of hardcore use</li></ul><br><br><b>Fabric: </b>1200-denier 100% all-recycled polyester with polyurethane coating/1000-denier polyester TPU laminate<br><br><b>Weight: </b>(1327 g 46 oz)<br><br>Made in China."
131,"Stormfront pack - Wade a little too deep? Take one over the bow? Twelve hours of horizontal downpour? No problema. Whatever you need to keep dry, is. As long as it's safely inside the Stormfront Pack. This ultra-simple waterproof pack is now made with an even tougher, 840-denier double polyurethane-coated nylon fabric and features a revolutionary easy-to-use waterproof zipper and internal, custom-fit padded gear case with hook-and-loop dividers. It's comfortably supported by a removable shoulder-strap harness and 3D spacer-mesh back panel. Take the harness off and you have the perfect dry boat bag. An glued in zippered mesh pocket keeps valuables organized and extra dry, while the external mesh pocket holds your hydration reservoir. The harness system includes tool attachment and storage capabilities plus, as an added bonus, it's compatible with the vest portion of our Pack Vest.<br><br><b>Details:</b><ul> <li>Waterproof/corrosion-proof main zipper; zipper relocated to create a panel opening; waterproof welded pod</li> <li>Internal custom-fit padded gear case has hook-and-loop dividers</li> <li>Detachable harness transforms Stormfront Pack into a drybag</li> <li>Stormfront pack harness has some crossover functionality with our Pack Vest</li> <li>External mesh hydration reservoir pocket</li> <li>Internal zippered mesh pocket</li> <li>""3-D spacer-mesh back panel wicks moisture, dries quickly and allows air circulation""</li></ul><br><br><b>Fabric: </b>840-denier nylon double-coat with a polyurethane film. Padded gear case: 200-denier polyester. Harness pack: 3D spacer mesh<br><br><b>Weight: </b>(1125 g 39 oz)<br><br>Made in China."
132,"Stretch polo - Core to the nomadic lifestyle, our Stretch Polo is stuffable, sink-washable and quick-drying. Throw this polo shirt in a duffel, wear it at the crag or pair it with khakis for dinner. The plaited fabric combination of 55% organic cotton/35% polyester/10% spandex has a soft, indulgent exterior with a moisture-managing interior that keeps you dry. The supple collar protects your neck from determined gearslings. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Plaited fabric has a soft cotton exterior with polyester on the inside to wick moisture away from skin</li></ul><br><br><b>Fabric: </b>5.7-oz 55% organic cotton/35% polyester/10% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(199 g 6.9 oz)<br><br>Made in Thailand."
133,"Stretch wading belt - This is the belt that comes with all Patagonia Waders, made from 1 1/2"""" wide elasticized polyester, and now featuring the low-profile Duraflex Stealth-V buckle for quick release, smooth function and easy adjustment. This belt accommodates multiple tool holsters and works on any waders. The Patagonia label also doubles as an accessory loop.<br><br><b>Details:</b><ul> <li>""1 1/2"""" wide polyester elastic""</li> <li>""Quick-release DuraFlex Stealth-V buckle provides smooth function and an easy, adjustable fit""</li> <li>Patagonia label doubles as an accessory loop</li></ul><br><br><b>Fabric: </b>100% stretch polyester<br><br><b>Weight: </b>(80 g 2.8 oz)<br><br>Made in China."
134,"Sub divider - Just as tough and water resistant as the Great Divider, the Sub is a compact, soft-sided boat chest that protects, hauls and organizes vital gear. Reels, fly boxes, phone, flares or lunch all reside safely within its protective custody when water-borne chaos rains down. Made from 840-denier double-polyurethane-coated nylon and patented molded top and bottom pans for waterproof protection even in standing water (up to the zipper). Welded seams eliminate leakage. Shock-absorbing high-density foam gives the bag shape. Inside, an adjustable foam divider, floating transparent panel and removable end pocket provide flexible organization. Access is through a highly water-resistant zipper with t-grip. Single, adjustable, removable, padded shoulder strap makes hauling easy. Insides can be removed and bag can be packed flat inside your luggage, then easily assembled when you reach your destination.<br><br><b>Details:</b><ul> <li>""Durable, waterproof, coated nylon exterior repels water; pliable, resilient high-density foam main compartment gives bag shape and protects contents""</li> <li>Patented molded top and bottom pan repels standing water and grips slippery surfaces; transparent floating interior panel (on the inside lid) has zippered pockets on both sides</li> <li>Foam divider (with hook-and-loop attachments) can be arranged in any configuration</li> <li>""One interior, zippered, transparent, removable end pocket""</li> <li>Strap attachments and seams are welded to eliminate leakage</li> <li>Highly water-resistant zipper with t-grip</li> <li>""Single, adjustable, removable, padded shoulder strap""</li></ul><br><br><b>Fabric: </b>""Body: 840-denier nylon double-coat with polyurethane coating. Top and bottom: Patented, molded, one piece TPU""<br><br><b>Weight: </b>(1324 g 45.9 oz)<br><br>Made in China."
135,"Surf brim - Whether you're paddling back out or waiting on the next set, our Surf Brim keeps your cranium cool and your eyes shaded. It is a quick-drying, secure hat with full-coverage protection. The 360-degree floatable foam brim shades vulnerable skin and allows clean duck dives; the dark underside reduces glare. Fast-drying 100% nylon with a DWR (durable water repellent) finish and two drain holes shed water. Stay-put details include a soft neoprene headband, a tuck-away chin strap and an adjustable rear buckle.<br><br><b>Details:</b><ul> <li>""Made from soft, fast-drying, easy-care nylon; sun-blocking foam brim holds its shape""</li> <li>Stiffer brim in front where you need it; still allows for clean duck dives</li> <li>Neoprene headband provides a secure fit; soft neoprene chin strap tucks away when not in use</li> <li>Dark underbill reduces glare; two vent/drain holes reduce water and heat build-up</li> <li>Adjustable rear buckle with elastic for snug fit</li></ul><br><br><b>Fabric: </b>Shell and underbill: 4.3-oz 100% nylon with a DWR (durable water repellent) finish. Chin strap and headband: 1-mm neoprene<br><br><b>Weight: </b>(80 g 2.8 oz)<br><br>Made in China."
136,"Surf sneaker - The footwear of choice for chasing the beach blitz, poling canoes or in some cases, sprucing up for a wedding. The Surf Sneaker employs the same tried-and-true cupped midsole and tough outsole as the Marlwalker, but has a softer flex pattern for more give on boat decks and shore breaks. Light, comfortable and fast-drying, this style offers just the right amount of support and protection without weighing you down. Our high-filtration mesh uses 100% recycled polyester. Colors selected for optimal camouflage. Nonmarking sole and wide last.<br><br><b>Details:</b><ul> <li>""Tough, durable, quick-drying synthetic leather won't fade in the sun; Neoprene collar and high-filtration mesh keeps out sand and silt; and drains quickly""</li> <li>""Molded rubber cupsole, EVA midsole and padded gel insole with arch support; softer midsole flex pattern for stability on rocking boat decks or rugged shore breaks""</li> <li>Wide last accommodates Lightweight Capilene Socks or Insulator Socks with Gravel Guard</li> <li>Sturdy rubber toe-box and molded heel counter protects against impact and sharp coral</li> <li>Padded ankle support with open laces and one top speed-lace hook</li> <li>High-traction rubber sole is nonmarking and sheds mud</li> <li>Camouflage colors</li></ul><br><br><b>Fabric: </b>""Lightweight, high-filtration all-recycled polyester mesh with synthetic leather upper and neoprene/spandex in tongue and collar. Molded, full-length cupped rubber outsole with interior EVA midsole""<br><br><b>Weight: </b>(1027 g 35.6 oz)<br><br>Made in China."
137,"Tech web belt - This one's for the big jobs: hoisting heavy work pants, resisting migration under a hipbelt and most importantly, keeping everything in place during animated air-guitar routines. The belt's aluminum buckle is lightweight and strong and cinches tight for a reliable hitch; it's also handy as a bottle opener at the end of a hot day. The 1 1/2"" nylon webbing endures abuse and dries quickly.<br><br><b>Details:</b><ul> <li>Quick-dry nylon webbing doubles as emergency lash strap</li> <li>Forged aluminum buckle is lightweight and strong; notched for prying the top off a cold one</li></ul><br><br><b>Fabric: </b>""1 1/2"""" nylon webbing""<br><br><b>Weight: </b>127 g (4.5 oz)<br><br>Made in Philippines."
138,"Text logo t-shirt - The Text Logo T-Shirt tells the classic story with one word. Printed on pure, 100% organic cotton with PVC- and phthalate-free inks, the shirt is ringspun for softness. Durable, taped shoulder seams minimize chafing. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>5.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(199 g 6.9 oz)<br><br>Made in USA."
139,"The more you know t-shirt - Inspired by Thoreau's immortal words, Yvon Chouinard's mantra of ""the more you know the less you need"" is simply stated through the original artwork of Geoff McFetridge. The More You Know T-Shirt is printed on organic cotton (100%) using PVC- and phthalate-free inks. Durable, taped shoulder seams and ringspun fabric yarns are soft next-to-skin. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(150 g 5.2 oz)<br><br>Made in USA."
140,"Three trees shirt - A summertime staple for airy crags and lofty topouts. The lightweight 100% organic cotton ripstop fabric adds durability for coarse climbs; it has a progressive-minded look with an ultrasoft feel. A shoulder yoke design keeps seams away from gear sling pressure points, and the drop-tail hem stays put under a harness. Three trees are embroidered on the backside of the left shoulder. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Soft, lightweight breathable organic cotton ripstop""</li> <li>Drop-in chest pockets</li> <li>Unique embroidery of trees on back left shoulder along yoke</li> <li>Drop-tail hem</li></ul><br><br><b>Fabric: </b>3.7-oz 100% organic cotton ripstop. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>192 g (6.8 oz)<br><br>Made in Thailand."
141,"Torrentshell pants - They're lightweight, waterproof and breathable: Our new Torrentshell Pants keep you singing in the rain when the thunderstorms boom. The simple pull-on style has an elastic drawcorded waistband, articulated knees and three zippered pockets (two handwarmer, one back hip). The zippered lower legs have adjustable hook-and-loop cuffs, and the pants stuff into the back pocket (with carabiner clip-in loop).<br><br><b>Details:</b><ul> <li>2.5-layer fabric with waterproof/breathable H2No barrier and Deluge DWR (durable water repellent) finish</li> <li>Elasticized self-fabric waistband with internal drawcord - pulls on for easy use</li> <li>""Pockets: secure zippered handwarmers, secure zippered back - all with DWR-treated zippers and storm flaps""</li> <li>Articulated knees</li> <li>""Adjustable, self-fabric hook-and-loop closure at ankle with flapped, DWR-treated zipper to the knee""</li> <li>Pants stow in back pocket</li></ul><br><br><b>Fabric: </b>""2.5-layer, 2.6-oz 50-denier 100% nylon ripstop with a waterproof/breathable H2No barrier and a Deluge DWR finish""<br><br><b>Weight: </b>(248 g 8.6 oz)<br><br>Made in China."
142,"Travel belt - The traveler's ace  keeps your pants adhered and your valuables securely hidden. Made from fast-drying, heavy duty webbing with a zippered, 19-inch stealth pocket to hold your cash, key and a love note from home. With a no-slip anodized buckle that turns your belt into an emergency lashing strap.<br><br><b>Details:</b><ul> <li>Quick-dry nylon webbing doubles as emergency lash strap</li> <li>Forged aluminum buckle is lightweight and strong</li> <li>""Anodized, anticorrosive finish on buckle""</li></ul><br><br><b>Fabric: </b>""1&#189;"""" nylon webbing""<br><br><b>Weight: </b>(210 g 7.3 oz)<br><br>Made in Philippines."
143,"Traverse jkt - Training routine number 47: bicycle to the Indian Peaks; run as much as you can to Pawnee Pass; scramble up Shoshoni Peak; return and ride home; soak in hot tub; start planning number 48. Our lightweight and highly breathable Traverse keeps stride the entire way. The fast-drying 93% all-recycled polyester/7% spandex fabric with 4-way stretch has a Deluge DWR (durable water repellent) finish to protect against wet weather. Jacket features include: a mesh-lined, zip-through stand-up collar with zipper garage, a full-front zip with wind flap; elastic banded cuffs; a drawcord waist and hem; and a slight drop tail. With two zippered handwarmer pockets and a zippered pocket on the left bicep that has an MP3 cord pass-through. Reflective logos (front and back) and graphics at the cuffs keep you visible. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Fast drying stretch-woven polyester soft shell is durable and delivers 4-way mechanical stretch</li> <li>Deluge DWR (durable water repellent) finish</li> <li>Mesh-lined zip-through stand-up collar</li> <li>Full zip with wind flap and zipper garage</li> <li>Zippered handwarmer pockets and a zip pocket at left bicep with interior MP3 cord pass-through</li> <li>Elastic banded cuffs; drawcord waist and hem</li> <li>Slight drop tail; Reflective logos and graphics at cuffs front and back</li></ul><br><br><b>Fabric: </b>4.7-oz 70-denier 93% all-recycled polyester/7% spandex with 4-way mechanical stretch and Deluge DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(285 g 9.9 oz)<br><br>Made in Vietnam."
144,"Trout silhouette t-shirt - The simplicity of the Silhouette T-Shirt embodies the trout's need for purity: only clean, cold water will do. The tee's printed on a canvas of 100% organic cotton fabric that's ringspun for softness, and has taped shoulder seams and double stitching at sleeves and hem for added durability. Coverstitching at neck and armholes lend a clean finish. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>5.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(199 g 6.9 oz)<br><br>Made in USA."
145,"Trucker hat - For big rigs or big hair, this is a classic road-tripping hat with lots of volume. Its retro styling features a fabric blend of 47% organic cotton/28% nylon/25% polyester mesh for a cool, ventilated and skin-savvy fit. The generous front bill is precurved; with adjustable tabs in back.<br><br><b>Details:</b><ul> <li>Made from organic cotton canvas and polyester mesh for all-day comfort</li> <li>Shapeable bill for sun protection</li> <li>Adjustable tabs in back customize fit</li> <li>Large volume accommodates big hair</li></ul><br><br><b>Fabric: </b>Front crown: 10-oz 100% organic cotton canvas. Back crown: 100% polyester mesh<br><br><b>Weight: </b>85 g (3 oz)<br><br>Made in China."
146,"Twenty-three's board shorts - Stay covered in our water-tested Wavefarer board short design, with a longer 23"" outseam. To prevent wax rash and rail rub, the Twenty-Threes are made from smooth, quick-drying, DWR-treated 100% nylon, with a forward inseam that won't chafe. A flat-lying, single-button gusseted fly and secure tie entry ensure they won't come off in the spin cycle, while an easy-access, self-draining side zip pocket with key loop keeps your stash intact. Inseam (size 32) is 12"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Recyclable, lightweight nylon with a DWR (durable water repellent) finish; flat-lying single-button fly and 3-piece, self-lined waistband contours to hip line""</li> <li>""Horizontal self-draining side-seam zip pocket with a secure zip, and internal key loop""</li> <li>Forward inseam at crotch eliminates chafing</li> <li>Hem hits below the knee</li> <li>Lower rise</li> <li>""Inseam is 12""""; outseam is 21""""""</li> <li>Now available in size 29</li></ul><br><br><b>Fabric: </b>4.3-oz 100% nylon with DWR finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(199 g 6.9 oz)<br><br>Made in Thailand."
147,"Ultra shorts - Our ever-popular long-cut, quick-drying Ultra Shorts use lightweight 50-denier polyester ripstop with a wicking finish to stay cool and comfortable, mile after mile. Pockets: two front drop-ins, two large back drop-ins - one with stitched compartments to keep energy gels secure - and one zippered security below the waistband to hold a car key. With an interior drawcord, and a lightweight, breathable built-in liner that extends into the waistband for a comfortable fit. Inseam (size M) is 9"". The reflective heat-transfer logo and reflective graphic keep you visible. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Lightweight fabric speeds dry times and has a smooth hand for non-chafing comfort</li> <li>""Lightweight, breathable, moisture-wicking, built-in liner extends into waistband for a comfortable fit""</li> <li>Interior drawcord</li> <li>Two front drop-in pockets and two large back pockets; one featuring stitched compartments to keep items secure and a zippered security pocket at waistband</li> <li>Reflective heat-transfer logo and graphic</li> <li>""9"""" inseam""</li></ul><br><br><b>Fabric: </b>3.5-oz 50-denier polyester ripstop with a wicking finish. Lining: 3.8-oz microdenier polyester crepe with moisture-wicking performance. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(207 g 7.2 oz)<br><br>Made in Vietnam."
148,"Ulw hiking crew socks - The heat along the Boucher Trail can shut you down fast. These airy hikers, with their dynamic fabric blend of 75% chlorine-free merino wool/21% nylon/4% spandex, manage the moisture from miles of hardpan and preserve a cool airflow so you can keep up the pace. A lightweight looped construction throughout the footbed cushions bruising terrain and an open knit weave over the arch vents excess heat. Our Looped Lintoe construction creates an ultra-flat, toe-friendly seam.<br><br><b>Details:</b><ul> <li>""Wool blend strategically knit to balance wicking performance, cushioning and durability""</li> <li>Ultra-lightweight looped construction on footbed provides maximum cushioning with least bulk</li> <li>""Felted wool yarns are chlorine-free, itch-free and offer long-term stability and performance""</li> <li>Open knit construction on top of foot vents excess heat and helps to moderate foot temperature</li> <li>Looped Lintoe construction creates the smallest and flattest seam possible for ultimate toe comfort</li></ul><br><br><b>Fabric: </b>75% chlorine-free merino wool/21% nylon/4% spandex<br><br><b>Weight: </b>(43 g 1.5 oz)<br><br>Made in USA."
149,"Velocity cap - When you're running the parched, open slopes of Black Mountain, our Velocity Cap keeps your head in a current of cool air. It has built-in breathability through its mesh panels and a wispy crown made from 100% polyester to deflect heat. The 5-panel design allows a close fit that customizes via a low-profile elastic and buckle closure. A wicking Coolmax headband keeps sweat out of your eyes and a dark underbill shades them from glare.<br><br><b>Details:</b><ul> <li>Adjustable rear buckle with elastic for snug fit</li> <li>Coolmax headband to wick moisture</li> <li>Dark underbill reduces glare</li> <li>Sanded fabric is soft against skin</li></ul><br><br><b>Fabric: </b>3.2-oz 100% polyester<br><br><b>Weight: </b>(75 g 2.6 oz)<br><br>Made in China."
150,"Watermaster hip highs - Originally made for Midwest spring creek aficionados, the Watermaster Hip Highs are finding fans among backcountry trekkers, jetty scramblers, skinny water paddlers and other minimalist anglers. Rest assured, these are not your grandpa's floppy rubber hip boots, either. The Watermasters are made from our proprietary waterproof/breathable polyester microfiber fabric with H2No Hydrostorm barrier for durable, sweat-free performance. Quick-release buckle hip adjustments, top hem drawcord and gripper elastic strip provide secure, flop-free upper leg fit. Down below, specifically designed left and right neoprene booties and built-in fabric gravel guards with abrasion resistant scuff zones keep feet protected and comfortable.<br><br><b>Details:</b><ul> <li>Specifically designed left and right legs and booties</li> <li>Quick-release buckle hip adjustments</li> <li>Top hem drawcord and gripper elastic strip for secure upper leg fit</li> <li>""Built-in, heavyweight reinforcement fabric gravel guards with abrasion resistance scuff zones""</li> <li>""1 1/4"""" gripper elastic gravel guard cuffs""</li> <li>""Concealed stainless steel, locking boot hooks secure cuff to boot and avoid line catch; Stretch Wading Belt with a quick-release DuraFlex Stealth-V buckle provides smooth function and an easy adjustable fit""</li></ul><br><br><b>Fabric: </b>""Legs: 3-layer, 7-oz polyester microfiber with proprietary H2No Hydrostorm waterproof/breathable barrier and Deluge DWR (durable water repellent finish). Gravel guards: 6.35-oz polyester microfiber double weave. Booties: 3-mm neoprene with abrasion-resistant fabric soles""<br><br><b>Weight: </b>(669 g 23.2 oz)<br><br>Made in China."
151,"World according to bikers t-shir - Our health and the health of the planet cycle around interconnectedness. Featuring original work by the art team Heads of State, the World According to Bikers T-Shirt is printed on organic (100%) cotton. The V-neck shirt features an inside message about the movement to create a complete, interconnected transportation network for cyclists (bikeleague.org for more info). Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(150 g 5.2 oz)<br><br>Made in USA."
152,"World trout t-shirt - James Prosek recreates the view from above, mimicking the energy of the fish with unique line art. Five dollars from the sale of each shirt will benefit World Trout, an organization that supports conservation efforts and identifies and protects native fish. Learn more about Patagonia's fly fishing line and World Trout at www.patagonia.com/fishing. Made from 100% organic cotton, the tee is recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>5.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(199 g 6.9 oz)<br><br>Made in USA."
